machine_id,failure_count
681910,21
7781217,18
1329890255,18
4802479866,18
4820073668,16
450512000,15
1272981,13
294985247,13
400148209,12
5782512,12
294816715,12
97930868,12
6570810,12
372630229,11
988233,11
317489271,11
7731984,11
1747195045,11
3407946425,11
705636,11
